room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
8014,22402,Private room,,Outer Mission,15,4.5,1,4.0,49.0,2,37.730746,-122.448409,2013-12-08 14:09:52
10832,38836,Entire home/apt,,Downtown/Civic Center,2,5.0,4,1.0,172.0,30,37.785899,-122.408343,2013-12-08 18:54:01
26488,112300,Entire home/apt,,Financial District,48,5.0,2,1.0,1097.0,360,37.790899,-122.393294,2013-12-07 23:36:57
45900,204441,Entire home/apt,,Financial District,158,4.5,6,3.0,219.0,1,37.78858,-122.404798,2013-12-07 03:09:04
54518,255971,Entire home/apt,,Financial District,5,4.5,2,1.0,187.0,30,37.793301,-122.400794,2013-12-07 03:32:39
56489,40784,Entire home/apt,,South of Market,2,5.0,4,2.0,1099.0,30,37.789147,-122.389519,2013-12-07 01:48:46
64332,40784,Entire home/apt,,South of Market,14,4.0,6,2.0,350.0,2,37.780092,-122.392797,2013-12-07 20:20:50
70284,329072,Shared room,,Chinatown,8,4.5,1,4.0,27.0,30,37.793639,-122.406347,2013-12-08 01:24:12
70753,329072,Shared room,,Financial District,70,4.5,4,1.0,30.0,1,37.79447,-122.404505,2013-12-06 22:56:09
71370,364983,Entire home/apt,,Outer Mission,10,4.5,6,2.0,131.0,3,37.733875,-122.444523,2013-12-24 00:41:05
72444,329072,Shared room,,Financial District,58,4.5,4,1.0,30.0,1,37.793088,-122.404431,2013-12-07 02:07:54
73596,384824,Entire home/apt,,Downtown/Civic Center,13,5.0,2,1.0,269.0,2,37.784251,-122.409423,2013-12-07 00:29:30
102951,329072,Shared room,,Chinatown,3,4.5,1,5.0,27.0,30,37.792972,-122.406636,2013-12-07 02:47:26
113211,576273,Shared room,,Chinatown,2,4.5,1,4.0,27.0,21,37.792941,-122.406587,2013-12-07 23:44:44
123769,417293,Entire home/apt,,Russian Hill,2,4.0,7,3.0,329.0,5,37.799047,-122.410314,2013-12-07 23:36:13
133245,654601,Entire home/apt,,Financial District,24,5.0,2,1.0,361.0,1,37.792786,-122.391377,2013-12-07 00:44:38
175090,127367,Entire home/apt,,Financial District,8,4.5,2,1.0,165.0,4,37.790184,-122.404748,2013-12-07 03:59:50
175102,127367,Entire home/apt,,Chinatown,14,4.5,2,1.0,192.0,4,37.791464,-122.404656,2013-12-08 16:24:09
206566,329072,Shared room,,Chinatown,1,5.0,1,5.0,27.0,30,37.795074,-122.404977,2013-12-07 13:02:25
206634,329072,Shared room,,Chinatown,3,5.0,1,5.0,27.0,30,37.794661,-122.405233,2013-12-08 02:15:40
206637,329072,Shared room,,Chinatown,0,,1,5.0,27.0,30,37.792908,-122.406375,2013-12-08 00:01:28
229240,329072,Shared room,,Financial District,47,5.0,4,1.0,30.0,1,37.793414,-122.403399,2013-12-08 02:29:36
241235,329072,Shared room,,Financial District,42,5.0,4,1.0,30.0,1,37.792708,-122.403826,2013-12-06 21:08:11
245524,1288125,Entire home/apt,,South of Market,18,5.0,4,2.0,433.0,180,37.787507,-122.393325,2013-12-08 05:14:04
255071,1223992,Entire home/apt,,Chinatown,10,5.0,3,1.0,121.0,2,37.790823,-122.404187,2013-12-07 15:40:17
259621,329072,Shared room,,Financial District,16,5.0,4,1.0,33.0,1,37.794697,-122.403737,2013-12-07 23:03:05
259622,329072,Shared room,,Financial District,15,4.5,4,1.0,33.0,1,37.79441,-122.404725,2013-12-06 22:37:22
280540,232759,Entire home/apt,,Downtown/Civic Center,24,5.0,2,1.0,219.0,2,37.789563,-122.407025,2013-12-07 14:20:39
280549,1454829,Private room,,West of Twin Peaks,7,5.0,5,3.0,274.0,1,37.737734,-122.449555,2013-12-07 14:56:48
285715,321702,Private room,,Russian Hill,27,5.0,2,2.0,220.0,2,37.79776,-122.410359,2013-12-06 21:32:04
287907,428414,Entire home/apt,,Outer Mission,16,5.0,5,2.0,219.0,2,37.730675,-122.438433,2013-12-08 02:24:33
325561,1665158,Private room,,Outer Mission,33,5.0,4,2.0,104.0,2,37.734185,-122.444898,2013-12-08 01:56:33
329020,326840,Entire home/apt,,South of Market,2,5.0,2,1.0,274.0,30,37.782775,-122.393374,2013-12-07 23:07:04
344621,305675,Private room,,Outer Mission,13,5.0,2,1.0,165.0,1,37.728363,-122.447974,2013-12-07 17:24:28
362511,25831,Private room,,South of Market,2,5.0,2,1.0,220.0,1,37.786592,-122.388839,2013-12-06 22:28:09
